product_id,name,category_id,weight,price,description,supplier_id,barcode
1544,Sassafras,4,216.31757364149317,1.96355701042206,food food food food food food food food food food food food food food food food food,889,1115211638326
1467,Chili pepper,4,807.942900161644,2.0230838978405674,food food food food food food food food food food food food food food food food food,190,94037094
1395,Annatto,4,52.09204639639076,9.877027966663476,food food food food food food food food food food food food food food food food food,238,43126377
1944,Costmary,4,802.8940252598697,1.4532092719598555,food food food food food food food food food food food food food food food food food,751,38132432
1623,Boldo,4,941.0188915197933,8.792201658748183,food food food food food food food food food food food food food food food food food,827,04268941
1821,Pandan leaf,4,797.6763790591568,3.1881605052241646,food food food food food food food food food food food food food food food food food,977,3985426447207
904,Paprika,4,749.5925549178836,7.982624928556644,food food food food food food food food food food food food food food food food food,285,85512693
1389,Bellini,1,858.3031245804066,0.9749996601116018,food food food food food food food food food food food food food food food food food,981,3509843564080
315,Aniseed myrtle,4,193.68036914881736,5.451627770876639,food food food food food food food food food food food food food food food food food,647,81754431
506,Jungle Juice,2,608.855938894708,0.737732951817538,food food food food food food food food food food food food food food food food food,768,00421090
1564,Gibson,2,828.6564079999949,8.307300340704842,food food food food food food food food food food food food food food food food food,366,0859815467704
602,Cayenne pepper,4,760.767682646917,9.953442096519707,food food food food food food food food food food food food food food food food food,658,0932996420070
577,Kimchi,1,239.71292961970713,0.46332939533284545,food food food food food food food food food food food food food food food food food,49,4752478707537
88,Clove,4,740.0603787139302,4.430198542138766,food food food food food food food food food food food food food food food food food,523,33844612
1019,Ammonia cookie,1,639.012069868611,6.465946523863434,food food food food food food food food food food food food food food food food food,25,00778062
1575,Palm wine,2,605.9026188257487,0.9523856103781969,food food food food food food food food food food food food food food food food food,876,5331964231007
1379,Pandan flower,4,735.0790062158663,5.438281678947137,food food food food food food food food food food food food food food food food food,144,9807088587755
1633,Chili pepper,4,819.5096395006656,5.136908613443446,food food food food food food food food food food food food food food food food food,179,5393411828806
111,Jiaogulan,4,44.11335830842844,2.261522493029886,food food food food food food food food food food food food food food food food food,369,26152831
532,Shiso,4,893.0813245996502,2.781364390794152,food food food food food food food food food food food food food food food food food,12,97482182
1310,Coriander,4,677.6947492885954,4.412530617183875,food food food food food food food food food food food food food food food food food,843,50309785
509,Juniper berry,4,138.7727836322905,3.898485488867791,food food food food food food food food food food food food food food food food food,240,58547726
795,Cicely sweet cicely,4,470.2082208058941,6.922503818787823,food food food food food food food food food food food food food food food food food,679,64230316
799,Gimlet,2,940.4025660386087,2.551676165750385,food food food food food food food food food food food food food food food food food,696,2288394938830
746,Blue tongue,3,847.3362939977841,2.358037315229906,food food food food food food food food food food food food food food food food food,240,4108436379862
280,Dodder laurel,3,877.4669324371652,7.376298539326955,food food food food food food food food food food food food food food food food food,106,64676225
1604,Caipirinha,2,880.2201322133296,3.825994576261973,food food food food food food food food food food food food food food food food food,321,02259945
862,Curry plant,4,208.45864062605457,1.2946188080396714,food food food food food food food food food food food food food food food food food,979,71376408
426,Celery leaf,4,31.443174112967487,3.5697905758706696,food food food food food food food food food food food food food food food food food,127,9474898408107
1669,Leptotes bicolor,4,9.528178721619707,8.240546369014298,food food food food food food food food food food food food food food food food food,305,1025219536966
1628,Paprika,4,271.15733035038045,7.208507143413872,food food food food food food food food food food food food food food food food food,608,7289121171343
833,Swiss steak,1,778.6415354606279,2.65048989518347,food food food food food food food food food food food food food food food food food,241,43310316
1589,Blackberry,3,490.58182514635774,3.433403310314821,food food food food food food food food food food food food food food food food food,544,7747143686017
1056,Pepperoni,1,634.5189423308691,9.305299620092638,food food food food food food food food food food food food food food food food food,863,4416530376995
141,Angelica,4,831.4587120652735,1.7405659636190496,food food food food food food food food food food food food food food food food food,777,75363770
38,Fry sauce,1,965.5966522807331,1.0032572410335516,food food food food food food food food food food food food food food food food food,990,8209610400830
1766,Savoy Affair,2,845.4816239477353,8.118631039028408,food food food food food food food food food food food food food food food food food,724,31064190
1097,Panama,2,676.8168206692651,9.382062561394308,food food food food food food food food food food food food food food food food food,402,7419696951125
919,Cumin,4,324.0279617160544,6.838393749909521,food food food food food food food food food food food food food food food food food,334,2984086357712
439,Parma Ham,1,43.75249351289667,3.20141626197986,food food food food food food food food food food food food food food food food food,207,1690597188575
906,Chicken sandwich,1,926.0839420995372,9.977709439462588,food food food food food food food food food food food food food food food food food,974,0407369455489
971,Jiaogulan,4,573.7877443387031,7.934004433893014,food food food food food food food food food food food food food food food food food,193,03234726
1743,Jaltomata procumbens,3,857.7422900387713,2.0291944435072793,food food food food food food food food food food food food food food food food food,386,5163679527322
292,Angelica,4,295.4632793142069,6.711297851625728,food food food food food food food food food food food food food food food food food,406,0081222374346
508,Pepper,4,67.72161154815059,8.557503907662898,food food food food food food food food food food food food food food food food food,282,94626222
1792,Alligator pepper,4,425.27995617417025,6.318625239649341,food food food food food food food food food food food food food food food food food,854,6863034630930
447,Chicken bog,1,538.4381274285907,8.566314693946172,food food food food food food food food food food food food food food food food food,708,4666665623801
259,Culantro,4,215.66999646035845,7.870251265417831,food food food food food food food food food food food food food food food food food,277,21480278
647,Link Up,2,998.8152696228007,5.897849500153217,food food food food food food food food food food food food food food food food food,8,6310271039508
806,Cassia,4,545.8108124482446,5.086916250726068,food food food food food food food food food food food food food food food food food,878,86846477
1267,Avens,4,184.66331528979507,4.555020252615476,food food food food food food food food food food food food food food food food food,206,9934103432126
542,Giant granadilla,3,262.19878664023054,8.75159498285415,food food food food food food food food food food food food food food food food food,246,10398534
745,Karonda,3,319.85364174513853,8.508120488321087,food food food food food food food food food food food food food food food food food,659,2236812199481
12,Avocado leaf,4,24.06520485614294,6.698595275964215,food food food food food food food food food food food food food food food food food,82,52324593
260,Coleslaw,1,578.2241060644543,4.900832161951385,food food food food food food food food food food food food food food food food food,959,56921503
1509,Barbecue,1,288.3036707959479,8.545502795028778,food food food food food food food food food food food food food food food food food,135,26189967
822,Chicory,4,921.8704488827617,4.946218950968476,food food food food food food food food food food food food food food food food food,170,93819797
340,Sambucus,3,59.69778792807634,3.5042074845783135,food food food food food food food food food food food food food food food food food,232,21519695
489,Dwarf dangleberry,3,619.2842933152174,3.66684742064989,food food food food food food food food food food food food food food food food food,162,2862907864274
731,Pandan flower,4,433.87993486527535,6.679089322369691,food food food food food food food food food food food food food food food food food,398,91021337
754,Raspberry,3,496.01802662494055,7.498551746579026,food food food food food food food food food food food food food food food food food,135,1494158932074
893,Salisbury steak,1,391.34549169938873,9.12130782102809,food food food food food food food food food food food food food food food food food,493,67941181
423,Chocolate Chip Cookie,1,924.1835695665679,8.53296815586813,food food food food food food food food food food food food food food food food food,827,6304808978519
1355,Calamansi,3,559.2503661154991,4.120183426964025,food food food food food food food food food food food food food food food food food,869,2645007345093
373,Tomatillo,3,929.7830195171108,1.3268816301879993,food food food food food food food food food food food food food food food food food,435,0824438758796
706,Cocky apple,3,243.3257943540277,1.9986132620501174,food food food food food food food food food food food food food food food food food,816,60557431
505,Coriander,4,554.4080892591827,3.384378737487088,food food food food food food food food food food food food food food food food food,732,5625454123620
615,Bog bilberry,3,407.69656494128657,5.08905124366488,food food food food food food food food food food food food food food food food food,902,6890592138885
1213,Paracress,4,340.72979654244494,0.5150706773053026,food food food food food food food food food food food food food food food food food,878,9081429065675
412,Paprika,4,878.2166493285771,7.919619088653608,food food food food food food food food food food food food food food food food food,374,6972460661511
1512,Thousand Island dressing,1,442.59679848204183,1.6390369662449544,food food food food food food food food food food food food food food food food food,891,46103428
986,Cumin,4,976.9728079569998,9.471371523991966,food food food food food food food food food food food food food food food food food,793,66753979
1568,Red Russian,2,22.574004893653022,3.2664099145366943,food food food food food food food food food food food food food food food food food,392,9073933367930
246,Curry leaf,4,245.5302552529266,0.9143319137041683,food food food food food food food food food food food food food food food food food,553,69405188
839,Sloppy joe,1,211.03154183144457,6.579095296780496,food food food food food food food food food food food food food food food food food,963,5380747570712
639,Confederate huckleberry,3,868.8233614069164,1.5297374118923568,food food food food food food food food food food food food food food food food food,670,8315726124387
39,Tonto,2,416.40749390140377,2.8902776724606207,food food food food food food food food food food food food food food food food food,327,01903750
828,Aniseed myrtle,4,889.0357987020664,3.2366438302856047,food food food food food food food food food food food food food food food food food,618,70411471
1343,Blue fenugreek,4,385.56471653865884,8.6254774995883,food food food food food food food food food food food food food food food food food,656,4798594942403
673,Caesar,2,240.72023388703334,1.0556240984609155,food food food food food food food food food food food food food food food food food,272,85332916
